Symbol,Yahoo,Section,Yahoo Type,Yahoo Exchange,Stmt Price 2/28/26,Yahoo Last,DOD Price,DOD Price per 2/28 share,DOD Price as traded,F_dod_feb,F_after_feb,Splits since DOD,Method,Flag,high_1205,low_1205,mean_1205,high_1208,low_1208,mean_1208,nav_date,nav
FSCOX,FSCOX,Stock Funds,MUTUALFUND,NAS,23.32,23.63,24.06,24.06,24.06,1.0,1.0,,NAV close 2025-12-05 (§20.2031-8(b)),,,,,,,,2025-12-05,24.059999465942383
FEMKX,FEMKX,Stock Funds,MUTUALFUND,NAS,54.92,61.05,49.19,49.19,49.19,1.0,1.0,,NAV close 2025-12-05 (§20.2031-8(b)),,,,,,,,2025-12-05,49.189998626708984
FLCSX,FLCSX,Stock Funds,MUTUALFUND,NAS,67.11,70.51,64.15,64.15,64.15,1.0,1.0,,NAV close 2025-12-05 (§20.2031-8(b)),,,,,,,,2025-12-05,64.1500015258789
FICQX,FICQX,Stock Funds,MUTUALFUND,NAS,37.71,39.2,37.21,37.21,37.21,1.0,1.0,,NAV close 2025-12-05 (§20.2031-8(b)),,,,,,,,2025-12-05,37.209999084472656
FISZX,FISZX,Stock Funds,MUTUALFUND,NAS,17.47,18.76,14.92,14.92,14.92,1.0,1.0,,NAV close 2025-12-05 (§20.2031-8(b)),,,,,,,,2025-12-05,14.920000076293945
FEMVX,FEMVX,Stock Funds,MUTUALFUND,NAS,19.69,22.46,17.18,17.18,17.18,1.0,1.0,,NAV close 2025-12-05 (§20.2031-8(b)),,,,,,,,2025-12-05,17.18000030517578
FBGRX,FBGRX,Stock Funds,MUTUALFUND,NAS,260.64,312.84,265.92,265.92,265.92,1.0,1.0,,NAV close 2025-12-05 (§20.2031-8(b)),,,,,,,,2025-12-05,265.9200134277344
AEMSX,AEMSX,Stock Funds,MUTUALFUND,NAS,19.02,21.53,17.57,17.57,17.57,1.0,1.0,,NAV close 2025-12-05 (§20.2031-8(b)),,,,,,,,2025-12-05,17.56999969482422
AEMGX,AEMGX,Stock Funds,MUTUALFUND,NAS,32.12,35.87,28.49,28.49,28.49,1.0,1.0,,NAV close 2025-12-05 (§20.2031-8(b)),,,,,,,,2025-12-05,28.489999771118164
CIVVX,CIVVX,Stock Funds,MUTUALFUND,NAS,25.48,25.51,24.64,24.64,24.64,1.0,1.0,,NAV close 2025-12-05 (§20.2031-8(b)),,,,,,,,2025-12-05,24.639999389648438
DFEVX,DFEVX,Stock Funds,MUTUALFUND,NAS,42.55,46.46,37.3,37.3,37.3,1.0,1.0,,NAV close 2025-12-05 (§20.2031-8(b)),,,,,,,,2025-12-05,37.29999923706055
